experiment_name,timestamp,experiment_folder,fl_Federated Learning Parameters,fl_num-server-rounds,fl_fraction-train,fl_local-epochs,fl_lr,fl_batch-size,fl_num-clients,fl_random-seed,fl_Strategy & Optimization Parameters,fl_strategy,fl_proximal_mu,fl_warmup_rounds,fl_weight_decay,fl_early_stopping,fl_early_stop_patience,model_Model Architecture Parameters,model_seq_len,model_pred_len,model_patch_size,model_stride,model_d_model,model_hidden_size,model_kernel_size,model_llm_layers,model_lora_r,model_lora_alpha,model_lora_dropout,model_dropout,model_model,best_round,best_val_loss,best_val_mae,best_val_rmse,client_mae_std,worst_client_mae,best_client_mae,fairness_ratio,final_round,final_val_loss,final_val_mae,final_val_rmse,final_train_loss,avg_val_loss,avg_val_mae,avg_val_rmse,avg_train_loss,total_training_time_sec,total_training_time_min,avg_round_duration_sec,avg_client_train_duration_sec,max_client_train_duration_sec,avg_client_drift,max_client_drift,total_comm_mb,rounds_to_target,comm_to_target,total_round_duration_sec,start_timestamp,end_timestamp
20260316_074550,20260316_074550,experiments_20260316_074550,,15,1.0,3,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,60,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,2.0,0.9103323017347588,0.7412014007568359,0.9539137244224548,0.02837284651428001,0.7602934837341309,0.6837072372436523,1.1120161412935075,7.0,1.0753917593386533,0.8035731077194214,1.0365772008895875,0.4018963762342021,0.9902473555666681,0.7712616443634034,0.9943100946290154,0.5949264308558829,7197.299009561539,119.9549834926923,1028.1850922107697,175.95915299824307,178.8147165775299,67.36701475313274,76.31309986692746,18470.526885986328,,,7197.295645475388,2026-03-16 07:46:00,2026-03-16 09:45:58
20260316_054618,20260316_054618,experiments_20260316_054618,,15,1.0,3,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,48,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,2.0,0.8774718443377758,0.7233400702476501,0.9363804697990418,0.028931063192953993,0.7449601888656616,0.6655161380767822,1.1193720876828892,7.0,1.0374573963908522,0.7828473687171936,1.0177044510841369,0.3969799598265025,0.9606318170263475,0.7562002011707852,0.9789943984576635,0.5912970003637609,7152.404679298401,119.20674465497336,1021.771214553288,175.4702877998352,179.8139727115631,62.407837024073544,70.34762246784398,18416.383056640625,,,7152.398501873016,2026-03-16 05:46:30,2026-03-16 07:45:43
20260316_034800,20260316_034800,experiments_20260316_034800,,15,1.0,3,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,24,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,2.0,0.7336290559144713,0.6518374085426331,0.8559821248054504,0.031234021896064706,0.7050896883010864,0.6155836582183838,1.1454002699515289,7.0,0.9071079252545112,0.7200417280197143,0.9517991542816162,0.3583629807430424,0.8027747015902812,0.6807276913097926,0.8947106003761292,0.5253459944918504,7079.266809225082,117.98778015375136,1011.3233762128012,175.00418317658563,176.28172039985657,51.97636033600185,57.27161023065356,18308.09539794922,,,7079.263633489609,2026-03-16 03:48:11,2026-03-16 05:46:11
20260316_005844,20260316_005844,experiments_20260316_005844,,15,1.0,3,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,12,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,5.0,0.5328577717683285,0.5318114459514618,0.7263652443885803,0.055678360509168676,0.6380982995033264,0.4769583940505981,1.3378489768976238,10.0,0.6189680486132305,0.5718403816223144,0.7837646722793579,0.3430575716051365,0.5672883199097749,0.5519123393297194,0.7496002125740051,0.44635184196717537,10137.04793548584,168.950798924764,1013.7040488958359,176.28531597614293,179.98865842819214,44.501152871126024,49.15059828163092,26077.073669433594,,,10137.040488958359,2026-03-16 00:58:56,2026-03-16 03:47:53
20260315_233258,20260315_233258,experiments_20260315_233258,,15,1.0,2,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,60,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,2.0,0.9002180378586754,0.7384546279907227,0.9485794067382812,0.028029303300940216,0.7639912962913513,0.68440181016922,1.116290583893185,7.0,1.1066393799677563,0.8100314855575561,1.0515318632125854,0.5183360209217875,0.9829068993651111,0.767224941934858,0.9902507679803031,0.7021181118746107,5127.417431592941,85.45695719321569,732.4877417428153,117.09290762628827,119.64909887313844,57.15615898012373,63.57321945785398,18470.526885986328,,,5127.414192199707,2026-03-15 23:33:10,2026-03-16 00:58:38
20260315_220558,20260315_220558,experiments_20260315_220558,,15,1.0,2,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,48,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,2.0,0.8640345764621882,0.7175531506538391,0.92915757894516,0.02847034481178946,0.745274543762207,0.6633362770080566,1.1235244770928685,7.0,1.06552011523868,0.7963325381278992,1.0316574811935424,0.5001312717735286,0.9431941593047118,0.7475258026804242,0.9699298007147653,0.6804296310702067,5201.369394540787,86.68948990901312,743.0522560732705,119.58871763774326,123.72323489189148,52.32510006364874,58.21837053001554,18416.383056640625,,,5201.365792512894,2026-03-15 22:06:09,2026-03-15 23:32:51
20260315_202552,20260315_202552,experiments_20260315_202552,,15,1.0,2,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,24,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,3.0,0.7248991860264358,0.6445595622062683,0.8506342053413392,0.03596438582498772,0.7066608667373657,0.6038486957550049,1.170261477262632,8.0,0.8809543798535854,0.709159791469574,0.9380417823791504,0.4386441271968603,0.7811275439450311,0.6694152966141701,0.8826002791523934,0.588206525820379,5986.911398410797,99.78185664017995,748.3633151054382,121.19286023974419,123.42081999778748,43.631767381602074,47.07237757474423,20923.53759765625,,,5986.906520843506,2026-03-15 20:26:04,2026-03-15 22:05:52
20260315_190448,20260315_190448,experiments_20260315_190448,,15,1.0,1,0.0001,512,5,2021.0,,fedavg,0.1,1,0.01,true,5,,336,72,8,4,768,128,5,6,8,16,0.0,0.15,gpt4ts_nonlinear,5.0,0.904380687850493,0.7392636060714721,0.9529911041259764,0.03295524303381919,0.7607989311218262,0.6737633943557739,1.1291781914766565,10.0,0.9155087261288256,0.7435901641845704,0.9589070796966552,0.8639826826510891,0.9182668760087755,0.7454502606391906,0.9602499926090239,0.8992021229638848,11621.37083864212,193.68951397736868,1162.1361412286758,179.37401484966279,180.7213299274445,2.4115375736674336,4.174576368288929,33282.427978515625,,,11621.361412286758,2026-03-15 19:05:00,2026-03-15 22:18:42
20260315_182137,20260315_182137,experiments_20260315_182137,,15,1.0,2,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,12,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,5.0,0.519158324540813,0.5238641619682312,0.7164309978485107,0.05921155922973151,0.6401398181915283,0.471098244190216,1.358824461958848,10.0,0.5407631365691401,0.533430814743042,0.7317173957824707,0.4456926366227322,0.535612555185564,0.533924441933632,0.7278604149818421,0.4900910070111558,7434.265017271042,123.90441695451736,743.4256732225418,121.2157477235794,123.02257299423218,36.45897321578988,40.50714083427681,26077.073669433594,,,7434.256732225418,2026-03-15 18:21:51,2026-03-15 20:25:46
20260315_172004,20260315_172004,experiments_20260315_172004,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,60,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,3.0,0.8872729894648275,0.7297689318656921,0.9416770815849304,0.028902949745695794,0.7539850473403931,0.6740793585777283,1.1185404770905039,8.0,0.9940013016403562,0.7721761226654053,0.996712064743042,0.6939949906521267,0.915225737739328,0.7412868693470955,0.9562555119395256,0.8054060617884902,3673.663088798523,61.22771814664205,459.20727610588074,61.935665589571,63.18710422515869,42.61946883143281,45.90716214079008,21109.173583984375,,,3673.658208847046,2026-03-15 17:20:16,2026-03-15 18:21:30
20260315_161150,20260315_161150,experiments_20260315_161150,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,48,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,4.0,0.8540796858394091,0.7125809669494629,0.9237315893173218,0.02955801905638957,0.7459425926208496,0.659526526927948,1.1310274297766683,9.0,0.973628801738782,0.7580644965171814,0.9861082792282104,0.6595167798000158,0.8844863944478532,0.7239217903878954,0.939817906750573,0.7757995739621483,4076.306987285614,67.93844978809356,452.92230518658954,61.05151099099052,62.34478282928467,38.28700200064384,42.63958475695735,23678.206787109375,,,4076.300746679306,2026-03-15 16:12:01,2026-03-15 17:19:58
20260315_155146,20260315_155146,experiments_20260315_155146,,15,1.0,1,0.0001,512,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,8,4,768,128,5,6,8,16,0.0,0.15,gpt4ts_nonlinear,5.0,0.9037952927527604,0.7398783326148987,0.9526110410690308,0.03237494255711043,0.761069655418396,0.674987256526947,1.1275318875416611,10.0,0.92662321847898,0.7565102815628052,0.9645472764968872,0.8610908891565057,0.9169178259151952,0.7479211163520814,0.9594874835014343,0.8972612043606338,11562.56051683426,192.70934194723765,1156.2546375989914,179.30257911682128,180.6866059303284,2.524669277263443,4.151892990781002,33282.427978515625,,,11562.546375989914,2026-03-15 15:51:58,2026-03-15 19:04:41
20260315_150515,20260315_150515,experiments_20260315_150515,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,24,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,4.0,0.7125335285287411,0.6363441824913025,0.8431402683258057,0.03911043063739398,0.7079415917396545,0.6004039645195007,1.179108789373527,9.0,0.7361975116406587,0.6459418058395385,0.85728839635849,0.6266277240393424,0.7232047203882671,0.6421188155810039,0.8495593349138895,0.6757442250262181,3975.476129055023,66.25793548425038,441.7188956207699,60.47435484462315,62.68022704124451,31.430932802286943,34.29527010064986,23538.97979736328,,,3975.4700605869293,2026-03-15 15:05:27,2026-03-15 16:11:43
20260315_131504,20260315_131504,experiments_20260315_131504,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,12,16,16,768,32,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,12.0,0.5110093364444075,0.5175813674926758,0.7106321930885315,0.05971120999897666,0.6351789236068726,0.4641817212104797,1.3683841792616722,15.0,0.5131213953129651,0.5173020601272583,0.7117401719093323,0.4735648031287999,0.5238658409463903,0.5260342379411063,0.7195097136497498,0.502261201727565,6590.913713216782,109.84856188694636,439.3925673007965,60.82802483558655,63.46949005126953,25.6418871126416,29.125999808174285,39115.61050415039,,,6590.888509511948,2026-03-15 13:15:15,2026-03-15 15:05:07
20260315_123746,20260315_123746,experiments_20260315_123746,,15,1.0,1,0.0001,512,5,2021.0,,fedavg,0.001,1,0.01,true,5,,336,72,8,4,768,128,5,6,8,16,0.0,0.15,gpt4ts_nonlinear,5.0,0.9031961562456908,0.7387079715728759,0.9523367762565612,0.03307019490740365,0.7608374357223511,0.6711139678955078,1.133693339907974,10.0,0.9144467316291952,0.7435914635658264,0.9582863688468932,0.8628920067382115,0.9182749895254771,0.7465984964370727,0.9601948404312134,0.9031318381076219,11617.181434869766,193.6196905811628,1161.7170753002167,179.44133904933926,181.38493275642395,2.4050303708149987,4.700662116898922,33282.427978515625,,,11617.170753002167,2026-03-15 12:38:00,2026-03-15 15:51:38
20260312_025633,20260312_025633,experiments_20260312_025633,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.001,1,0.01,true,5,,336,72,16,16,768,16,5,6,8,16,0.0,0.15,gpt4ts_nonlinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260312_023612,20260312_023612,experiments_20260312_023612,,15,1.0,2,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,16,16,768,64,1,3,8,16,0.0,0.15,gpt4ts_nonlinear,2.0,0.9214928031528696,0.7471982002258301,0.959320330619812,0.028319952172280293,0.7681503891944885,0.690752387046814,1.1120488377587454,7.0,1.1261623954878133,0.8205920696258545,1.0600680232048034,0.4346728533957034,1.0318892741654098,0.7862861735480173,1.0139444436345781,0.635184753813871,4541.745737552643,75.69576229254405,648.8203905650547,100.57492534773691,102.627587556839,58.78200040198309,68.81347660650584,16612.32574462891,,,4541.742733955383,2026-03-12 02:36:23,2026-03-12 03:52:06
20260312_023141,20260312_023141,experiments_20260312_023141,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,16,16,768,32,5,6,8,16,0.0,0.15,gpt4ts_nonlinear,3.0,0.9104452924991356,0.7410841941833496,0.9535297870635986,0.028128518319831847,0.7599852681159973,0.6855677366256714,1.1085487655189334,8.0,0.9850406498383072,0.7686249375343323,0.9917118310928345,0.7427248306051697,0.9310126405485413,0.7494181379675865,0.9641315966844559,0.8385844580846668,4905.176827430725,81.75294712384542,613.1463483572006,86.35347592234612,88.34197115898132,46.6953350852659,51.85182213155624,25557.30224609375,,,4905.170786857605,2026-03-12 02:31:53,2026-03-12 03:53:38
20260312_015542,20260312_015542,experiments_20260312_015542,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.001,1,0.01,true,5,,336,72,16,16,768,16,5,4,8,16,0.0,0.15,gpt4ts_nonlinear,3.0,0.9100401641779088,0.7400636076927185,0.9532828092575072,0.030397872464881757,0.7601767182350159,0.6792789101600647,1.1190936548521557,8.0,0.933616163569338,0.7463096380233765,0.9653868556022644,0.8287140641481645,0.9181185938818928,0.742139658331871,0.9574669972062111,0.8674363715068427,3633.779773235321,60.56299622058869,454.2218833565712,60.2560538649559,61.58789277076721,44.720075231221344,48.19974703952688,21167.37548828125,,,3633.7750668525696,2026-03-12 01:55:53,2026-03-12 02:56:27
20260312_012052,20260312_012052,experiments_20260312_012052,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,16,16,768,32,5,4,8,16,0.0,0.15,gpt4ts_nonlinear,4.0,0.9094888308504048,0.739369523525238,0.9529620289802552,0.031563532453724535,0.7606948614120483,0.6772933602333069,1.1231394046887042,9.0,1.0192621169861624,0.7809382796287536,1.0086802124977112,0.702053583644691,0.937922898949751,0.7500037590662639,0.9675474789407519,0.824012546479288,4230.923698186874,70.51539496978124,470.1019648975796,62.53983233769735,63.67568373680115,44.464883375773454,49.10489633892692,23817.60955810547,,,4230.917684078217,2026-03-12 01:21:04,2026-03-12 02:31:35
20260312_011249,20260312_011249,experiments_20260312_011249,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,16,16,768,64,5,6,8,16,0.0,0.15,gpt4ts_nonlinear,3.0,0.9139514256084666,0.7404559850692749,0.9553189754486084,0.029841361646701883,0.7625640630722046,0.6809408664703369,1.1198682596698333,8.0,1.0548129668972073,0.7911191582679749,1.025863814353943,0.6424425896407376,0.9530675253085792,0.7551175579428673,0.9751327693462373,0.7982308547590828,4984.369124174118,83.0728187362353,623.0454045236111,88.27741068005562,90.32900619506836,47.72409864527391,52.88167303576043,25564.96826171875,,,4984.363236188889,2026-03-12 01:13:00,2026-03-12 02:36:05
20260312_005803,20260312_005803,experiments_20260312_005803,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.001,1,0.01,true,5,,336,72,16,16,768,16,5,3,8,16,0.0,0.15,gpt4ts_nonlinear,4.0,0.9065592891679092,0.7374546527862549,0.9514237403869628,0.030899285146156585,0.7590972781181335,0.6764221787452698,1.122224110874398,9.0,0.939957106839208,0.751495623588562,0.968769645690918,0.818826398507802,0.9177194708507825,0.7424749082989164,0.9572607292069328,0.8667718075545174,3440.7461280822754,57.34576880137126,382.3045682642195,48.11448491414388,49.33321452140808,42.440926555407586,46.56589316902115,21346.119689941403,,,3440.7411143779755,2026-03-12 00:58:13,2026-03-12 01:55:35
